date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:15	14807/14807	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f55f4e67f3d237e00de0184cf7a08b7e%22	https://www.humanicslab.com/_next/static/chunks/app/what-we-do/digital-services/page-8efb24d6b356b6a6.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/app/what-we-do/digital-services/page-8efb24d6b356b6a6.js	(from https://www.humanicslab.com/what-we-do/digital-services)
14:15:16	3253/3253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2235707bd9960ba5281c72af927b79291f%22	https://www.humanicslab.com/placeholder.svg?key=1qrpu	./humanicslab_mirror/www.humanicslab.com/placeholderea6b.svg	(from https://www.humanicslab.com/what-we-do/digital-services)
14:15:17	82196/82196	---MCZ	200	added ('OK')	text/html	etag:W/%22piv7x1usjj1rf7%22	https://www.humanicslab.com/case-studies	./humanicslab_mirror/www.humanicslab.com/case-studies.html	(from https://www.humanicslab.com/what-we-do/digital-services)
14:15:18	10218/10218	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c0d16608983b2be52fb3991b2120dfa8%22	https://www.humanicslab.com/_next/static/chunks/2514-99c2062b50c10422.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/2514-99c2062b50c10422.js	(from https://www.humanicslab.com/what-we-do/digital-banking)
14:15:19	12665/12665	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eea30d6efd2653ebcb327ae3aff9c1a8%22	https://www.humanicslab.com/_next/static/chunks/5995-002e99cb408fe4dc.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/5995-002e99cb408fe4dc.js	(from https://www.humanicslab.com/what-we-do/digital-banking)
14:15:20	33366/33366	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b410596775b757bc38f7f1a867e752f0%22	https://www.humanicslab.com/_next/static/chunks/app/what-we-do/digital-banking/page-f42e4b1699361815.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/app/what-we-do/digital-banking/page-f42e4b1699361815.js	(from https://www.humanicslab.com/what-we-do/digital-banking)
14:15:21	473225/473225	---M--	200	added ('OK')	image/png	etag:%22c2b462efc7fbec1da22160269c2c731a%22	https://www.humanicslab.com/digital-banking/digital-banking-header.png	./humanicslab_mirror/www.humanicslab.com/digital-banking/digital-banking-header.png	(from https://www.humanicslab.com/what-we-do/digital-banking)
14:15:22	599772/599772	---M--	200	added ('OK')	image/png	etag:%22b078b2ba3379d0422562b3dd057daf11%22	https://www.humanicslab.com/digital-banking/partnership-illustration.png	./humanicslab_mirror/www.humanicslab.com/digital-banking/partnership-illustration.png	(from https://www.humanicslab.com/what-we-do/digital-banking)
14:15:22	11265/11265	---M--	200	added ('OK')	image/png	etag:%22773b48b8deb50e71d4f3d799bee79896%22	https://www.humanicslab.com/logo.png	./humanicslab_mirror/www.humanicslab.com/logo.png	(from https://www.humanicslab.com/what-we-do/digital-banking)
14:15:23	6446/6446	---MCZ	200	added ('OK')	application/javascript	etag:W/%2277647cfbe4edb6986e2bb7fd389deb82%22	https://www.humanicslab.com/_next/static/chunks/3005-f7be256f78983ddb.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/3005-f7be256f78983ddb.js	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:25	7703/7703	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232104e036eeb0a0bf04ed5ffb9a975f7%22	https://www.humanicslab.com/_next/static/chunks/app/what-we-do/entrepreneurship/page-fdb2ea8791d0c2fa.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/app/what-we-do/entrepreneurship/page-fdb2ea8791d0c2fa.js	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:26	824067/824067	---M--	200	added ('OK')	image/png	etag:%221fce95b99830c56f7f85d1188ed6522f%22	https://www.humanicslab.com/abstract-blue-entrepreneurship.png	./humanicslab_mirror/www.humanicslab.com/abstract-blue-entrepreneurship.png	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:26	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/entrepreneurship/incubator	./humanicslab_mirror/www.humanicslab.com/entrepreneurship/incubator.45.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:27	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/entrepreneurship/accelerator	./humanicslab_mirror/www.humanicslab.com/entrepreneurship/accelerator.46.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:28	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/entrepreneurship/mentorship	./humanicslab_mirror/www.humanicslab.com/entrepreneurship/mentorship.47.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:29	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/entrepreneurship/funding	./humanicslab_mirror/www.humanicslab.com/entrepreneurship/funding.48.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:30	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/resources/business-plan-template.pdf	./humanicslab_mirror/www.humanicslab.com/resources/business-plan-template.49.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:31	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/resources/financial-projections.xlsx	./humanicslab_mirror/www.humanicslab.com/resources/financial-projections.4a.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:32	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/resources/pitch-deck-guide.pdf	./humanicslab_mirror/www.humanicslab.com/resources/pitch-deck-guide.4b.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:33	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/resources/marketing-toolkit.pdf	./humanicslab_mirror/www.humanicslab.com/resources/marketing-toolkit.4c.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:34	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/resources/legal-checklist.pdf	./humanicslab_mirror/www.humanicslab.com/resources/legal-checklist.4d.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:35	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/resources/product-development.pdf	./humanicslab_mirror/www.humanicslab.com/resources/product-development.4e.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:36	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/entrepreneurship/resources	./humanicslab_mirror/www.humanicslab.com/entrepreneurship/resources.4f.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:38	741672/741672	---M--	200	added ('OK')	image/png	etag:%221215d8e0710728306e6e995c58a74654%22	https://www.humanicslab.com/business-mentorship-coaching.png	./humanicslab_mirror/www.humanicslab.com/business-mentorship-coaching.png	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:38	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/entrepreneurship/apply	./humanicslab_mirror/www.humanicslab.com/entrepreneurship/apply.51.delayed	(from https://www.humanicslab.com/what-we-do/entrepreneurship)
14:15:40	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%229dbb476891c113e91ea72b666b77d9f2%22	https://www.humanicslab.com/_next/static/chunks/app/what-we-do/research/page-4fb403e28f3862a6.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/app/what-we-do/research/page-4fb403e28f3862a6.js	(from https://www.humanicslab.com/what-we-do/research)
14:15:40	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/research/projects/chestify-ai	./humanicslab_mirror/www.humanicslab.com/research/projects/chestify-ai.53.delayed	(from https://www.humanicslab.com/what-we-do/research)
14:15:41	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/research/projects/edutech-africa	./humanicslab_mirror/www.humanicslab.com/research/projects/edutech-africa.54.delayed	(from https://www.humanicslab.com/what-we-do/research)
14:15:42	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/research/projects/sarf-exchange	./humanicslab_mirror/www.humanicslab.com/research/projects/sarf-exchange.55.delayed	(from https://www.humanicslab.com/what-we-do/research)
14:15:43	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/research/projects	./humanicslab_mirror/www.humanicslab.com/research/projects.56.delayed	(from https://www.humanicslab.com/what-we-do/research)
14:15:44	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/research/partners	./humanicslab_mirror/www.humanicslab.com/research/partners.57.delayed	(from https://www.humanicslab.com/what-we-do/research)
